Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,SUST,100,,001,"Sustainability: People, Place, and Process",Jasika Khosla;Matthew Nelson;Victoria Goyer,128,73.390625,14.14115253,93.0,0.0,,,7,5,12,14,20,18,29,12,6
UBCO,2017,W,SUST,100,,101,"Sustainability: People, Place, and Process",Jasika Khosla;Matthew Nelson;Victoria Goyer,111,75.738738739,14.943963033,99.0,21.0,5,,7,5,10,7,11,8,19,19,17
