Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,W,JAPN,100,,99A,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Nicholas Hall,47,72.4,73.0,62.8,81.3,93.0,33.0,2,1,2,6,2,3,6,5,5,4,4
UBCV,2023,W,JAPN,100,,99C,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,36,71.7,74.0,69.0,82.0,87.0,0.0,1,1,2,2,0,8,5,3,8,3,0
UBCV,2023,W,JAPN,100,,001,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,17,78.4,81.0,75.0,84.0,91.0,47.0,1,0,0,0,1,0,3,3,5,3,1
UBCV,2023,W,JAPN,100,,002,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,21,76.2,76.0,69.0,87.0,93.0,50.0,0,1,2,0,2,2,2,4,1,3,4
UBCV,2023,W,JAPN,100,,003,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,23,76.5,77.0,70.0,81.0,93.0,56.0,0,0,1,1,1,3,4,2,5,3,1
UBCV,2023,W,JAPN,100,,004,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,23,69.7,71.5,63.5,80.3,94.0,14.0,2,0,1,2,3,2,2,0,6,0,2
UBCV,2023,W,JAPN,100,,005,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,27,75.1,78.0,68.5,85.0,94.0,36.0,2,1,0,0,2,3,3,4,4,6,2
UBCV,2023,W,JAPN,100,,006,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Nicholas Hall,21,73.7,78.0,64.0,84.0,93.0,56.0,0,0,4,0,4,1,1,2,6,2,1
UBCV,2023,W,JAPN,100,,007,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,29,78.3,79.0,73.0,87.0,94.0,42.0,1,0,1,1,1,1,3,8,3,6,4
UBCV,2023,W,JAPN,100,,008,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,24,64.1,66.5,53.3,78.5,89.0,15.0,4,2,1,1,3,1,1,2,4,1,0
UBCV,2023,W,JAPN,100,,009,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,22,73.1,76.0,72.0,79.0,87.0,34.0,1,0,1,0,3,0,5,6,3,2,0
UBCV,2023,W,JAPN,100,,010,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,25,77.9,80.5,73.8,86.5,96.0,35.0,1,0,2,0,1,1,2,5,4,5,3
UBCV,2023,W,JAPN,100,,011,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,21,73.3,78.5,65.3,80.5,89.0,52.0,1,2,1,1,0,2,1,5,2,3,0
UBCV,2023,W,JAPN,100,,021,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,28,71.9,78.0,67.0,84.0,91.0,3.0,2,0,1,3,1,2,1,6,3,5,1
UBCV,2023,W,JAPN,100,,022,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,28,71.2,73.5,67.3,84.8,94.0,11.0,4,0,1,0,2,5,2,2,3,4,3
UBCV,2023,W,JAPN,100,,023,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,27,74.3,76.5,68.0,85.3,91.0,31.0,1,1,0,2,0,5,3,3,2,6,1
UBCV,2023,W,JAPN,100,,024,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,23,70.1,79.0,60.0,85.0,90.0,17.0,3,1,1,2,2,1,1,2,2,7,1
UBCV,2023,W,JAPN,100,,025,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,19,75.6,76.0,73.0,81.5,88.0,51.0,0,1,0,0,1,0,5,3,3,2,0
UBCV,2023,W,JAPN,101,,99C,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Nicholas Hall,29,67.1,74.0,61.5,79.8,92.0,0.0,3,0,1,3,0,4,3,4,0,3,3
UBCV,2023,W,JAPN,101,,011,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,22,75.0,78.0,66.5,86.8,92.0,44.0,1,2,1,0,2,1,3,3,1,6,2
UBCV,2023,W,JAPN,101,,012,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,20,71.4,73.0,67.0,77.0,87.0,52.0,0,1,2,0,2,2,4,6,1,1,0
UBCV,2023,W,JAPN,101,,021,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,29,78.9,79.0,72.0,86.0,94.0,60.0,0,0,0,2,1,3,5,3,3,8,3
UBCV,2023,W,JAPN,101,,022,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,26,72.9,75.0,65.8,83.0,89.0,40.0,1,0,2,3,1,3,2,4,4,4,0
UBCV,2023,W,JAPN,101,,023,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,19,69.8,72.0,68.0,78.0,92.0,0.0,1,0,0,1,2,4,3,2,1,2,1
UBCV,2023,W,JAPN,101,,024,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Nicholas Hall,10,68.3,76.0,69.5,83.0,85.0,0.0,1,0,1,0,0,1,2,1,3,1,0
UBCV,2023,W,JAPN,101,,026,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Nicholas Hall,11,61.4,67.0,56.0,72.0,85.0,16.0,1,1,1,1,1,1,2,0,0,1,0
UBCV,2023,W,JAPN,101,,027,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,28,74.3,76.0,65.0,80.0,91.0,57.0,0,0,1,4,2,3,2,5,4,2,2
UBCV,2023,W,JAPN,160,,011,Intensive Beginning Japanese I,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,12,76.7,78.0,73.5,84.0,88.0,56.0,0,0,1,0,0,1,0,2,1,2,0
UBCV,2023,W,JAPN,200,,011,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,20,72.3,71.5,63.5,81.3,89.0,54.0,0,1,0,4,2,3,2,2,4,2,0
UBCV,2023,W,JAPN,200,,012,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,21,71.2,74.0,66.5,78.0,87.0,49.0,1,2,0,0,4,1,3,4,2,2,0
UBCV,2023,W,JAPN,200,,013,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,25,79.3,83.0,77.0,86.0,91.0,53.0,0,2,0,1,0,0,1,5,7,7,1
UBCV,2023,W,JAPN,200,,014,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,30,77.5,77.0,72.3,84.0,95.0,55.0,0,0,1,3,1,3,0,10,5,2,5
UBCV,2023,W,JAPN,200,,015,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Nicholas Hall,11,67.2,73.0,60.0,77.8,96.0,20.0,1,1,0,2,0,0,2,2,1,0,1
UBCV,2023,W,JAPN,200,,016,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,34,76.3,77.5,71.8,84.5,93.0,46.0,1,2,0,1,2,2,5,6,5,6,2
UBCV,2023,W,JAPN,201,,021,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,8,77.0,78.5,68.0,82.0,88.0,67.0,0,0,0,0,1,2,0,2,1,2,0
UBCV,2023,W,JAPN,201,,022,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,24,76.0,77.5,73.3,82.3,92.0,53.0,0,1,2,0,1,2,3,5,7,2,1
UBCV,2023,W,JAPN,201,,023,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,22,77.9,80.0,73.0,83.0,88.0,63.0,0,0,0,1,1,2,4,3,8,3,0
UBCV,2023,W,JAPN,201,,024,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,21,76.6,76.0,71.0,84.0,94.0,56.0,0,0,1,2,1,2,4,2,4,4,1
UBCV,2023,W,JAPN,201,,025,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,24,73.3,74.0,67.0,81.5,89.0,42.0,1,1,0,0,5,2,3,4,3,4,0
UBCV,2023,W,JAPN,260,,021,Intensive Beginning Japanese II,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,15,74.4,75.5,67.5,79.3,90.0,50.0,0,1,0,0,3,0,3,3,1,2,1
UBCV,2023,W,JAPN,320,,011,Intermediate Japanese I A,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,21,73.1,74.0,67.0,80.0,87.0,55.0,0,0,2,1,3,3,2,4,5,1,0
UBCV,2023,W,JAPN,320,,012,Intermediate Japanese I A,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,24,71.3,72.0,68.0,79.0,84.0,19.0,1,0,0,1,3,5,4,3,6,0,0
UBCV,2023,W,JAPN,321,,021,Intermediate Japanese I B,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,18,73.8,76.0,71.0,79.3,83.0,61.0,0,0,0,2,1,1,3,5,4,0,0
UBCV,2023,W,JAPN,321,,022,Intermediate Japanese I B,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,15,78.9,82.5,71.3,84.8,86.0,68.0,0,0,0,0,0,4,0,2,4,4,0
UBCV,2023,W,JAPN,322,,011,Intermediate Japanese II A,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,17,76.9,75.0,71.5,83.5,87.0,65.0,0,0,0,0,1,3,4,2,1,4,0
UBCV,2023,W,JAPN,323,,021,Intermediate Japanese II B,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,12,76.4,78.0,71.0,83.0,86.0,61.0,0,0,0,1,0,3,1,2,3,1,0
UBCV,2023,W,JAPN,360,,011,Intensive Intermediate Japanese I,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,21,73.2,76.0,66.0,77.3,83.0,61.0,0,0,0,2,4,1,2,8,3,0,0
UBCV,2023,W,JAPN,361,,021,Intensive Intermediate Japanese II,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,19,73.3,75.0,71.0,81.0,85.0,52.0,0,1,2,0,0,2,4,3,4,1,0
UBCV,2023,W,JAPN,400,,011,Advanced Modern Japanese: Reading and Writing I,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,21,75.7,76.5,68.5,81.3,95.0,60.0,0,0,0,3,2,2,2,4,3,1,3
UBCV,2023,W,JAPN,401,,021,Advanced Modern Japanese: Reading and Writing II,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,17,74.2,73.0,66.0,83.0,96.0,52.0,0,1,0,2,2,2,3,1,4,0,2
UBCV,2023,W,JAPN,402,,011,Advanced Modern Japanese: Conversation and Composition I,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,19,73.7,70.5,67.3,79.8,86.0,63.0,0,0,0,1,4,5,0,3,3,2,0
UBCV,2023,W,JAPN,422,,011,Classical Japanese I,Rebecca Fuk Hing Chau Choi;Kurtis Hanlon,18,80.3,87.5,80.3,94.0,100.0,14.0,2,0,0,1,0,1,0,0,4,2,8
UBCV,2023,W,JAPN,424,,021,Japanese for Professional Life I,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,10,73.4,75.5,71.3,77.8,85.0,55.0,0,0,1,0,1,1,2,4,0,1,0
UBCV,2023,W,JAPN,452,,011,Readings in Modern Japanese Essays,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,12,77.1,78.0,70.3,83.3,87.0,67.0,0,0,0,0,1,3,0,2,2,2,0
UBCV,2023,W,JAPN,453,,021,Readings in Modern Japanese Literature,Rebecca Fuk Hing Chau Choi;Shota Iwasaki,12,82.3,84.5,78.0,86.5,97.0,67.0,0,0,0,0,1,1,1,1,2,4,2
