Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,JAPN,100,,99A,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Nicholas Hall,32,70.8,74.5,66.8,80.0,92.0,7.0,,,,,,,8,,6,,
UBCV,2022,W,JAPN,100,,99C,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,33,74.3,83.0,67.0,87.0,92.0,9.0,,,,,,,,,,9,
UBCV,2022,W,JAPN,100,,001,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,16,74.2,72.5,68.3,81.8,86.0,63.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,002,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,27,72.0,75.0,65.5,80.0,89.0,39.0,,,,,,,,,8,,
UBCV,2022,W,JAPN,100,,003,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,18,76.7,82.0,77.3,85.8,93.0,0.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,004,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,19,73.7,73.0,69.0,83.0,91.0,56.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,005,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Ihhwa Kim,27,71.7,76.0,65.5,80.5,90.0,42.0,,,,,,,,6,6,,
UBCV,2022,W,JAPN,100,,006,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Nicholas Hall,25,69.2,73.0,62.0,77.0,92.0,20.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,007,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,28,77.0,80.0,74.8,86.0,92.0,29.0,,,,,,,,7,,7,
UBCV,2022,W,JAPN,100,,008,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,28,76.3,78.0,69.3,87.3,96.0,42.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,009,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,27,72.3,80.0,66.5,86.5,95.0,0.0,,,,,,,,,,6,
UBCV,2022,W,JAPN,100,,010,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,28,76.1,77.0,70.3,82.0,90.0,58.0,,,,,,,,,7,,
UBCV,2022,W,JAPN,100,,011,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,19,82.8,85.0,78.5,87.5,94.0,62.0,,,,,,,,,,6,
UBCV,2022,W,JAPN,100,,012,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,25,76.5,74.0,72.0,81.0,92.0,62.0,,,,,,,7,,,,
UBCV,2022,W,JAPN,100,,021,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,20,74.5,77.0,70.5,81.3,84.0,37.0,,,,,,,,,8,,
UBCV,2022,W,JAPN,100,,023,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Michiko Suzuki,28,67.9,72.5,58.5,79.8,95.0,0.0,,,,,,,,,,,
UBCV,2022,W,JAPN,100,,024,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,23,77.8,79.0,70.5,85.0,92.0,53.0,,,,,,,,,,6,
UBCV,2022,W,JAPN,100,,025,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,25,74.1,78.0,72.0,84.0,92.0,41.0,,,,,,,,8,,,
UBCV,2022,W,JAPN,100,,027,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,16,72.2,75.0,65.8,81.3,91.0,31.0,,,,,,,,,,,
