Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2021,S,CRWR,382,A,001,Topics in Creative Writing,Matthew Lee Rader;Andreas Rutkauskas,13,76.2,78.0,71.0,81.0,97.0,47.0,,,,,,,,,,,
UBCO,2021,S,CRWR,470,A,001,Portfolio,Kim Senklip Harvey;Tania Willard,7,91.0,92.0,89.5,92.5,93.0,88.0,,,,,,,,,,,
