Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,ARTS,1,A,00A,Arts One,Joseph Paul;Michael Brandon Konoval;Michael Zeitlin;Sylvia Berryman,54,75.018518519,13.984480267,86.0,0.0,,,,,,5,,15,19,5,
UBCV,2018,W,ARTS,1,B,00B,Arts One,Andrew Connolly;Brianne Orr Alvarez;John Barker;Robert Crawford,56,75.607142857,11.831665635,90.0,19.0,,,,,,,13,15,14,6,
