Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,S,JAPN,100,,98A,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Nicholas Hall,25,68.5,78.0,64.0,82.0,89.0,0.0,3,0,1,2,3,1,2,2,7,4,0
UBCV,2022,S,JAPN,100,,98B,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,12,73.3,75.5,68.0,81.3,92.0,50.0,0,2,0,1,0,2,1,2,2,1,1
UBCV,2022,S,JAPN,100,,921,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,20,80.8,83.0,75.8,87.3,91.0,63.0,0,0,0,1,0,3,1,3,3,7,2
UBCV,2022,S,JAPN,100,,923,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Misuzu Kazama,22,74.2,79.0,69.3,82.0,92.0,29.0,2,0,0,0,2,4,0,4,6,2,2
UBCV,2022,S,JAPN,100,,951,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,10,73.3,78.5,62.8,82.5,90.0,52.0,0,2,0,1,1,0,0,1,3,1,1
UBCV,2022,S,JAPN,100,,952,Beginning Japanese IA,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,22,75.5,76.5,67.3,81.0,98.0,50.0,0,1,3,0,2,2,3,3,3,1,4
UBCV,2022,S,JAPN,101,,922,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Noriyuki Kawada,25,74.2,79.0,66.0,85.0,90.0,21.0,1,0,3,1,3,1,1,4,4,5,2
UBCV,2022,S,JAPN,101,,951,Beginning Japanese IB,Rebecca Fuk Hing Chau Choi;Kaori Tanaka,20,78.8,77.5,74.0,87.3,94.0,55.0,1,0,0,0,1,1,6,2,1,6,2
UBCV,2022,S,JAPN,200,,921,Beginning Japanese II A,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,23,76.8,77.0,70.5,85.0,91.0,55.0,0,0,2,0,0,4,5,3,3,4,2
UBCV,2022,S,JAPN,201,,951,Beginning Japanese II B,Rebecca Fuk Hing Chau Choi;Haruyo Takahashi-Taucar,18,74.3,76.0,68.3,81.8,91.0,50.0,0,1,0,1,2,4,0,5,1,2,2
UBCV,2022,S,JAPN,360,,921,Intensive Intermediate Japanese I,Rebecca Fuk Hing Chau Choi;Masumi Abe El-Khoury,12,74.3,74.0,72.5,77.0,83.0,61.0,0,0,0,1,0,2,5,1,3,0,0
UBCV,2022,S,JAPN,361,,951,Intensive Intermediate Japanese II,Rebecca Fuk Hing Chau Choi;Kyoko Hillman,11,78.4,78.0,74.5,82.0,87.0,70.0,0,0,0,0,0,1,3,2,4,1,0
UBCV,2022,S,JAPN,424,,921,Japanese for Professional Life I,Rebecca Fuk Hing Chau Choi;Yasuko Matsumoto,18,75.4,82.0,71.3,83.8,91.0,15.0,1,0,0,2,1,1,1,1,7,1,3
