Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,AFST,250,A,001,Introduction to African Studies,Joash Gambarage Johannes;Joash Johannes;Justice Gbolonyo;Justice Stephen Gbolonyo,64,86.984375,7.174673682999999,97.0,51.0,,,,,,,,7,7,23,25
UBCV,2015,W,AFST,250,A,002,Introduction to African Studies,Hiba Morcos;Justice Gbolonyo;Justice Stephen Gbolonyo,58,82.586206897,10.179157382,93.0,28.0,,,,,,,6,,12,20,12
UBCV,2015,W,AFST,352,A,002,Perspectives in African Studies: A Social Science Approach,Curtis Andrews;Justice Gbolonyo;Justice Stephen Gbolonyo,37,82.05405405399999,18.139805747,94.0,0.0,,,,,,,,,8,12,11
