Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,MEDG,419,,001,Developmental Origin of Human Disorders,Pamela Hoodless; Louis Lefebvre; Wendy Robinson; Carolyn Brown; Catherine Van Raamsdonk,22,82.8,84.0,77.25,89.5,94,68,6,5,3,3,4,0,0,0,0,1,0
UBCV,2025,W,MEDG,420,,001,Human Genomics and Medical Genetics,Stefan Taubert; Mahmoud Pouladi; Laura Arbour; Jan Marshall Friedman,29,88.6,89.0,83.0,95.0,99,75,14,7,3,4,1,0,0,0,0,0,0
UBCV,2025,W,MEDG,421,,001,Genetics and Cell Biology of Cancer,Ewan Gibb; Laura Evgin; Gregor Reid; Morgan Roberts,35,83.1,84.0,79.0,88.0,94,67,5,11,6,9,2,0,0,1,0,1,0
