Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2023,S,APPP,504,,101,Business Acumen for Technical Leaders,Rui Jorge Basto da Silva;Caren Lombard;Wayne Rawcliffe;Scott Sinclair;Zorana Svedic,49,81.9,82.0,79.0,84.0,88.0,74.0,0,0,0,0,0,0,2,11,25,11,0
UBCV,2023,S,APPP,504,,102,Business Acumen for Technical Leaders,Rui Jorge Basto da Silva;Caren Lombard;Wayne Rawcliffe;Scott Sinclair;Zorana Svedic,48,84.04,84.0,83.0,85.0,88.0,79.0,0,0,0,0,0,0,0,1,26,21,0
