Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,THTR,391,C,921,Rehearsal and Performance,Leora Morris,12,87.2,86.0,84.3,93.0,93.0,80.0,,,,,,,,,,,
UBCV,2021,S,THTR,399,A,921,Production II,Jacqueline Firkins;Robert Gardiner;Patrick Pennefather;Bradley Powers;Patrick Rizzotti,7,89.4,91.0,87.5,91.5,92.0,85.0,,,,,,,,,,,
UBCV,2021,S,THTR,448,A,921,Directed Studies in Theatre Theory and Practice,Jacqueline Firkins;Robert Gardiner;Kirsty Johnston;Hallie Marshall;Bradley Powers,6,86.5,90.0,82.8,93.5,96.0,68.0,,,,,,,,,,,
