Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,S,APPP,504,,101,Business Acumen for Technical Leaders,Perdip Atwal;Christopher Ryan;Scott Sinclair,61,78.7,79.0,75.0,82.0,86.0,69.0,,,,,,,15,16,19,8,
UBCV,2021,S,APPP,504,,102,Business Acumen for Technical Leaders,Perdip Atwal;Christopher Ryan;Scott Sinclair,57,78.9,78.0,76.0,82.0,90.0,61.0,,,,,,,8,22,16,7,
